,x,y,change
72049,-66.42492438787878,18.45931267,-3.9808768333333333
72054,-66.42492438787878,18.45886267,-1.8771726666666702
72521,-66.42482969090908,18.46183267,-3.028453166666665
72549,-66.42482969090908,18.45931267,-0.7898564999999991
73022,-66.42473499393938,18.46174267,-4.781604166666668
73522,-66.42464029696968,18.46174267,-3.6307763333333334
73523,-66.42464029696968,18.46165267,-4.183878499999999
73526,-66.42464029696968,18.46138267,-0.8495989999999942
73527,-66.42464029696968,18.46129267,-2.5786973333333343
74022,-66.42454559999999,18.46174267,-3.1001885000000016
74023,-66.42454559999999,18.46165267,-3.2820433333333305
74024,-66.42454559999999,18.46156267,-3.241613000000001
74055,-66.42454559999999,18.45877267,-1.4336233333333332
74522,-66.42445090303029,18.46174267,-1.7042429999999982
74524,-66.42445090303029,18.46156267,-6.141478499999998
74556,-66.42445090303029,18.45868267,-2.914792666666667
75020,-66.4243562060606,18.46192267,-2.6329103333333315
75021,-66.4243562060606,18.46183267,-0.2647465000000011
75023,-66.4243562060606,18.46165267,-0.9641435000000023
75056,-66.4243562060606,18.45868267,-2.9894174999999983
75554,-66.4242615090909,18.45886267,-2.273082333333331
75755,-66.4242615090909,18.44077267,-2.5964478333333325
75769,-66.4242615090909,18.43951267,-1.9838376666666626
76241,-66.4241668121212,18.44203267,-2.239027666666665
76243,-66.4241668121212,18.44185267,-1.7717493333333323
76244,-66.4241668121212,18.44176267,-2.3531971666666642
76245,-66.4241668121212,18.44167267,-2.1421108333333336
76268,-66.4241668121212,18.43960267,-1.930835833333333
76269,-66.4241668121212,18.43951267,-1.9957625000000014
76275,-66.4241668121212,18.43897267,-2.1117498333333344
76742,-66.4240721151515,18.44194267,-4.2994379999999985
76743,-66.4240721151515,18.44185267,-3.058633333333333
76774,-66.4240721151515,18.43906267,-1.5480558333333327
77273,-66.4239774181818,18.43915267,-1.955757666666667
77278,-66.4239774181818,18.43870267,-2.402394333333337
77778,-66.42388272121211,18.43870267,-2.1453305000000036
77786,-66.42388272121211,18.43798267,-1.9419753333333318
78287,-66.42378802424241,18.43789267,-1.9396248333333368
78288,-66.42378802424241,18.43780267,-1.6492550000000001
78785,-66.42369332727272,18.43807267,-1.5743041666666642
78786,-66.42369332727272,18.43798267,-1.6021971666666666
78787,-66.42369332727272,18.43789267,-1.1507490000000011
78788,-66.42369332727272,18.43780267,-0.8040626666666668
79287,-66.42359863030302,18.43789267,-1.119328000000003
79288,-66.42359863030302,18.43780267,-2.017200500000005
85123,-66.42246226666666,18.45265267,-2.3705745
85124,-66.42246226666666,18.45256267,-2.9879324999999994
85125,-66.42246226666666,18.45247267,-3.064003500000002
85126,-66.42246226666666,18.45238267,-3.170758166666669
85624,-66.42236756969696,18.45256267,-2.5775938333333315
85625,-66.42236756969696,18.45247267,-2.6813971666666667
85626,-66.42236756969696,18.45238267,-3.2210503333333342
85627,-66.42236756969696,18.45229267,-3.745625833333335
85628,-66.42236756969696,18.45220267,-3.1086905000000016
86124,-66.42227287272726,18.45256267,-1.0213756666666676
86125,-66.42227287272726,18.45247267,-0.6810549999999971
86126,-66.42227287272726,18.45238267,-2.3741303333333335
86127,-66.42227287272726,18.45229267,-4.8107333333333315
86128,-66.42227287272726,18.45220267,-5.232944666666668
86129,-66.42227287272726,18.45211267,-4.8302900000000015
86627,-66.42217817575757,18.45229267,-4.390598000000001
86628,-66.42217817575757,18.45220267,-6.080840666666671
86629,-66.42217817575757,18.45211267,-7.194931166666667
86630,-66.42217817575757,18.45202267,-6.273725333333337
86734,-66.42217817575757,18.44266267,-4.784854000000001
86735,-66.42217817575757,18.44257267,-4.444625499999999
86809,-66.42217817575757,18.43591267,-2.8442935000000027
86810,-66.42217817575757,18.43582267,-2.3727146666666705
86811,-66.42217817575757,18.43573267,-1.596853666666668
87126,-66.42208347878787,18.45238267,-4.710474333333334
87127,-66.42208347878787,18.45229267,-4.414070333333331
87128,-66.42208347878787,18.45220267,-5.534698666666667
87234,-66.42208347878787,18.44266267,-4.730717833333337
87235,-66.42208347878787,18.44257267,-3.3541395000000023
87311,-66.42208347878787,18.43573267,-2.283626333333334
87734,-66.42198878181817,18.44266267,-5.163671333333335
87735,-66.42198878181817,18.44257267,-3.562234
88235,-66.42189408484847,18.44257267,-4.568314000000001
88236,-66.42189408484847,18.44248267,-3.862725833333336
89587,-66.42160999393938,18.45589267,-2.718463333333336
89588,-66.42160999393938,18.45580267,-2.5956474999999983
89589,-66.42160999393938,18.45571267,-2.7405249999999945
89617,-66.42160999393938,18.45319267,-3.0831386666666667
90075,-66.42151529696969,18.45697267,-1.8797086666666694
90088,-66.42151529696969,18.45580267,-2.439158166666669
90089,-66.42151529696969,18.45571267,-2.360370833333331
90118,-66.42151529696969,18.45310267,-3.1214661666666643
90119,-66.42151529696969,18.45301267,-2.0505926666666703
90576,-66.42142059999999,18.45688267,-2.4139845000000015
90577,-66.42142059999999,18.45679267,-0.5820713333333352
90578,-66.42142059999999,18.45670267,-0.8725933333333309
90589,-66.42142059999999,18.45571267,-2.167999000000002
90590,-66.42142059999999,18.45562267,-1.2760903333333324
90618,-66.42142059999999,18.45310267,-3.278345999999999
90619,-66.42142059999999,18.45301267,-2.8295913333333296
91098,-66.4213259030303,18.45490267,-1.6353326666666668
91099,-66.4213259030303,18.45481267,-1.934476666666665
91119,-66.4213259030303,18.45301267,-2.0399441666666682
91598,-66.4212312060606,18.45490267,-1.731557833333337
91599,-66.4212312060606,18.45481267,-0.9058319999999966
92099,-66.4211365090909,18.45481267,-1.6638055000000023
92100,-66.4211365090909,18.45472267,-2.7382610000000014
92600,-66.4210418121212,18.45472267,-2.440103166666667
92617,-66.4210418121212,18.45319267,-3.712734666666666
92618,-66.4210418121212,18.45310267,-1.9096911666666685
93100,-66.4209471151515,18.45472267,-2.1144726666666678
93117,-66.4209471151515,18.45319267,-2.429609166666669
93118,-66.4209471151515,18.45310267,-2.6386530000000015
93119,-66.4209471151515,18.45301267,-2.0731233333333314
93613,-66.42085241818181,18.45355267,-6.1109091666666675
93614,-66.42085241818181,18.45346267,-5.4528314999999985
93617,-66.42085241818181,18.45319267,-1.6838421666666648
93618,-66.42085241818181,18.45310267,-2.3122023333333352
93619,-66.42085241818181,18.45301267,-3.184991833333335
94113,-66.42075772121211,18.45355267,-4.691612333333332
94114,-66.42075772121211,18.45346267,-5.377127833333333
94117,-66.42075772121211,18.45319267,-2.7775361666666676
94118,-66.42075772121211,18.45310267,-2.9965678333333337
94119,-66.42075772121211,18.45301267,-3.1882059999999974
94593,-66.42066302424242,18.45535267,-2.8719764999999953
94616,-66.42066302424242,18.45328267,-3.8480174999999974
94617,-66.42066302424242,18.45319267,-4.037035166666666
94618,-66.42066302424242,18.45310267,-2.597968166666668
94619,-66.42066302424242,18.45301267,-3.4293159999999965
94620,-66.42066302424242,18.45292267,-5.110134166666667
94857,-66.42066302424242,18.43159267,-2.2569320000000026
95091,-66.42056832727272,18.45553267,-4.361623999999999
95092,-66.42056832727272,18.45544267,-5.151009999999999
95093,-66.42056832727272,18.45535267,-5.1994381666666705
95094,-66.42056832727272,18.45526267,-2.497487833333331
95096,-66.42056832727272,18.45508267,-2.7520046666666644
95353,-66.42056832727272,18.43195267,-2.3958936666666695
95354,-66.42056832727272,18.43186267,-1.1874248333333313
95357,-66.42056832727272,18.43159267,-3.3001323333333303
95590,-66.42047363030302,18.45562267,-5.062878666666668
95591,-66.42047363030302,18.45553267,-4.934259500000001
95592,-66.42047363030302,18.45544267,-5.209604666666667
95593,-66.42047363030302,18.45535267,-5.199005333333336
95594,-66.42047363030302,18.45526267,-4.150537999999997
95595,-66.42047363030302,18.45517267,-2.0259736666666655
95596,-66.42047363030302,18.45508267,-2.3027285000000006
95853,-66.42047363030302,18.43195267,-5.139412999999998
95854,-66.42047363030302,18.43186267,-5.020712
95855,-66.42047363030302,18.43177267,-4.2292411666666645
95856,-66.42047363030302,18.43168267,-2.746745333333333
96090,-66.42037893333332,18.45562267,-4.854781333333333
96093,-66.42037893333332,18.45535267,-2.832489166666665
96094,-66.42037893333332,18.45526267,-4.404935333333334
96095,-66.42037893333332,18.45517267,-3.35283466666667
96354,-66.42037893333332,18.43186267,-4.879707999999999
96594,-66.42028423636363,18.45526267,-4.356975666666667
96595,-66.42028423636363,18.45517267,-4.646053166666668
96778,-66.42028423636363,18.43870267,-6.060466499999999
96779,-66.42028423636363,18.43861267,-4.689273666666665
96780,-66.42028423636363,18.43852267,-3.3959004999999998
97105,-66.42018953939393,18.45427267,-0.46910716666666374
97603,-66.42009484242423,18.45445267,-0.3088949999999997
97604,-66.42009484242423,18.45436267,-0.7724009999999986
